ResortId,Resort,RoomTypeID,RoomType,PropertyTypeId,PropertyType,BedroomID,BedType,Name,Resort name in tzort ,Resort Name in wyndham,resort id in wyndham onwner site
69,Mountain Vista Resort,2,Deluxe,12,,1,Studio,Wyndham Mountain Vista - Studio Deluxe,Mountain Vista Resort,Club Wyndham Mountain Vista,67.0
69,Mountain Vista Resort,2,Deluxe,12,,2,1 Bed,Wyndham Mountain Vista 1 Bedroom,Mountain Vista Resort,Club Wyndham Mountain Vista,67.0
69,Mountain Vista Resort,2,Deluxe,12,,3,2 Beds,Wyndham Mountain Vista - 2 Bedroom Deluxe,Mountain Vista Resort,Club Wyndham Mountain Vista,67.0
69,Mountain Vista Resort,2,Deluxe,12,,4,3 Beds,Wyndham Mountain Vista - 3 Bedroom Deluxe,Mountain Vista Resort,Club Wyndham Mountain Vista,67.0
70,Ocean Walk Resort,3,Suite,12,,2,1 Bed,Wyndham Ocean Walk - 1 Bedroom Suite,Ocean Walk Resort,Club Wyndham Ocean Walk,5.0
70,Ocean Walk Resort,2,Deluxe,12,,3,2 Beds,Wyndham Ocean Walk - 2 Bedroom Deluxe,Ocean Walk Resort,Club Wyndham Ocean Walk,5.0
70,Ocean Walk Resort,2,Deluxe,12,,4,3 Beds,Wyndham Ocean Walk - 3 Bedroom Deluxe,Ocean Walk Resort,Club Wyndham Ocean Walk,5.0
71,Margaritaville - Rio Mar,2,Deluxe,12,,1,Studio,Margaritaville Vacation Club by Wyndham - Rio Mar - Studio,Margaritaville - Rio Mar,Margaritaville Vacation Club by Wyndham - Rio Mar,173.0
71,Margaritaville - Rio Mar,2,Deluxe,12,,2,1 Bed,Margaritaville Vacation Club by Wyndham - Rio Mar - 1 Bedroom,Margaritaville - Rio Mar,Margaritaville Vacation Club by Wyndham - Rio Mar,173.0
72,Smugglers' Notch Vermont Resort,3,Suite,12,,2,1 Bed,Wyndham Smugglers Notch - 1 Bedroom,Smugglers' Notch Vermont Resort,Club Wyndham Smugglers' Notch VermontÃ‚Â®,19.0
72,Smugglers' Notch Vermont Resort,2,Deluxe,20,Condo,3,2 Beds,Wyndham Smugglers Notch - 2 Bedroom,Smugglers' Notch Vermont Resort,Club Wyndham Smugglers' Notch VermontÃ‚Â®,19.0
72,Smugglers' Notch Vermont Resort,2,Deluxe,12,,4,3 Beds,Wyndham Smugglers Notch - 3 Bedroom Deluxe,Smugglers' Notch Vermont Resort,Club Wyndham Smugglers' Notch VermontÃ‚Â®,19.0
73,Steamboat Springs Resort,2,Deluxe,12,,2,1 Bed,Wyndham Vacation Resorts Steamboat Springs - 1 Bedroom Deluxe,Steamboat Springs Resort,Club Wyndham Steamboat Springs,7.0
73,Steamboat Springs Resort,2,Deluxe,12,,3,2 Beds,Wyndham Vacation Resorts Steamboat Springs - 2 Bedroom Deluxe,Steamboat Springs Resort,Club Wyndham Steamboat Springs,7.0
73,Steamboat Springs Resort,2,Deluxe,12,,4,3 Beds,Wyndham Vacation Resorts Steamboat Springs - 3 Bedroom Deluxe,Steamboat Springs Resort,Club Wyndham Steamboat Springs,7.0
74,Ocean Boulevard Resort,2,Deluxe,12,,2,1 Bed,Wyndham Ocean Boulevard - 1 Bedroom,Ocean Boulevard Resort,Club Wyndham Ocean Boulevard,4.0
74,Ocean Boulevard Resort,2,Deluxe,12,,3,2 Beds,Wyndham Ocean Boulevard - 2 Bedroom,Ocean Boulevard Resort,Club Wyndham Ocean Boulevard,4.0
74,Ocean Boulevard Resort,2,Deluxe,12,,4,3 Beds,Wyndham Ocean Boulevard - 3 Bedroom,Ocean Boulevard Resort,Club Wyndham Ocean Boulevard,4.0
74,Ocean Boulevard Resort,4,Presidential,12,,5,4 Beds,Wyndham Ocean Boulevard - 4 Bedroom Presidential,Ocean Boulevard Resort,Club Wyndham Ocean Boulevard,4.0
75,Glacier Canyon Resort,2,Deluxe,12,,2,1 Bed,Wyndham Glacier Canyon - 1 Bedroom,Glacier Canyon Resort,Club Wyndham Glacier Canyon,93.0
75,Glacier Canyon Resort,2,Deluxe,12,,3,2 Beds,Wyndham Glacier Canyon - 2 Bedroom,Glacier Canyon Resort,Club Wyndham Glacier Canyon,93.0
75,Glacier Canyon Resort,2,Deluxe,12,,4,3 Beds,Wyndham Glacier Canyon - 3 Bedroom,Glacier Canyon Resort,Club Wyndham Glacier Canyon,93.0
76,Pagosa Resort,3,Suite,12,,2,1 Bed,Wyndham Pagosa - 1 Bedroom Suite,Pagosa Resort,Club Wyndham Pagosa,73.0
76,Pagosa Resort,2,Deluxe,12,,3,2 Beds,Wyndham Pagosa - 2 Bedroom Deluxe,Pagosa Resort,Club Wyndham Pagosa,73.0
77,Club Wyndham Bonnet Creek,2,Deluxe,12,,2,1 Bed,Wyndham Bonnet Creek Resort - 1 Bedroom,Club Wyndham Bonnet Creek,Club Wyndham Bonnet Creek,45.0
77,Club Wyndham Bonnet Creek,2,Deluxe,12,,3,2 Beds,Wyndham Bonnet Creek Resort - 2 Bedroom,Club Wyndham Bonnet Creek,Club Wyndham Bonnet Creek,45.0
77,Club Wyndham Bonnet Creek,2,Deluxe,12,,4,3 Beds,Wyndham Bonnet Creek Resort - 3 Bedroom Deluxe,Club Wyndham Bonnet Creek,Club Wyndham Bonnet Creek,45.0
77,Club Wyndham Bonnet Creek,4,Presidential,12,,5,4 Beds,Wyndham Bonnet Creek 4 Bedroom,Club Wyndham Bonnet Creek,Club Wyndham Bonnet Creek,45.0
78,Fairfield Bay Resort,2,Deluxe,12,,2,1 Bed,Wyndham Resort At Fairfield Bay - 1 Bedroom Deluxe,Fairfield Bay Resort,Club Wyndham Resort at Fairfield Bay,76.0
78,Fairfield Bay Resort,2,Deluxe,12,,3,2 Beds,Wyndham Resort At Fairfield Bay - 2 Bedroom Deluxe,Fairfield Bay Resort,Club Wyndham Resort at Fairfield Bay,76.0
79,Grand Lake Resort,3,Suite,12,,2,1 Bed,Club Wyndham Grand Lake - 1 Bedroom,Grand Lake Resort,Club Wyndham Grand Lake,108.0
79,Grand Lake Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Grand Lake - 2 Bedroom,Grand Lake Resort,Club Wyndham Grand Lake,108.0
80,Austin Resort,2,Deluxe,12,,1,Studio,Wyndham Austin - Studio,Austin Resort,Club Wyndham Austin,283.0
80,Austin Resort,2,Deluxe,12,,2,1 Bed,Wyndham Austin - 1 Bedroom Deluxe,Austin Resort,Club Wyndham Austin,283.0
80,Austin Resort,2,Deluxe,12,,3,2 Beds,Wyndham Austin - 2 Bedroom Deluxe,Austin Resort,Club Wyndham Austin,283.0
81,Grand Desert Resort,3,Suite,12,,2,1 Bed,Wyndham Grand Desert - 1 Bedroom Suite,Grand Desert Resort,Club Wyndham Grand Desert,54.0
81,Grand Desert Resort,2,Deluxe,12,,3,2 Beds,Wyndham Grand Desert - 2 Bedroom Deluxe,Grand Desert Resort,Club Wyndham Grand Desert,54.0
81,Grand Desert Resort,2,Deluxe,12,,4,3 Beds,Wyndham Grand Desert - 3 Bedroom Deluxe,Grand Desert Resort,Club Wyndham Grand Desert,54.0
82,Canterbury Resort,2,Deluxe,12,,2,1 Bed,Wyndham Canterbury at San Francisco -  1 Bedroom,Canterbury Resort,Club Wyndham Canterbury,48.0
82,Canterbury Resort,2,Deluxe,12,,3,2 Beds,Wyndham Canterbury at San Francisco - 2 Bedroom,Canterbury Resort,Club Wyndham Canterbury,48.0
83,Fairfield Mountains Resort,3,Suite,12,,2,1 Bed,Wyndham Resort at Fairfield Mountains - 1 Bedroom Suite,Fairfield Mountains Resort,Club Wyndham Resort at Fairfield Mountains,79.0
83,Fairfield Mountains Resort,2,Deluxe,12,,3,2 Beds,Wyndham Resort at Fairfield Mountains - 2 Bedroom Deluxe,Fairfield Mountains Resort,Club Wyndham Resort at Fairfield Mountains,79.0
84,Midtown 45 Resort,1,Standard,12,,1,Studio,Wyndham Midtown 45 at New York City -  Hotel,Midtown 45 Resort,Club Wyndham Midtown 45,167.0
84,Midtown 45 Resort,2,Deluxe,12,,2,1 Bed,Wyndham Midtown 45 at New York City - 1 Bedroom,Midtown 45 Resort,Club Wyndham Midtown 45,167.0
84,Midtown 45 Resort,4,Presidential,12,,3,2 Beds,Wyndham Midtown 45 at New York City - 2 Bedroom Presidential,Midtown 45 Resort,Club Wyndham Midtown 45,167.0
85,Nashville Resort,3,Suite,12,,2,1 Bed,Wyndham Nashville - 1 Bedroom Suite,Nashville Resort,Club Wyndham Nashville,68.0
85,Nashville Resort,2,Deluxe,12,,3,2 Beds,Wyndham Nashville - 2 Bedroom Condo,Nashville Resort,Club Wyndham Nashville,68.0
86,Westwinds Resort,3,Suite,12,,2,1 Bed,Wyndham Westwinds - 1 Bedroom,Westwinds Resort,Club Wyndham Westwinds,103.0
86,Westwinds Resort,2,Deluxe,12,,3,2 Beds,Wyndham Westwinds - 2 Bedroom,Westwinds Resort,Club Wyndham Westwinds,103.0
87,Towers on the Grove Resort,1,Standard,12,,1,Studio,Wyndham Towers on the Grove at North Myrtle Beach - Studio,Towers on the Grove Resort,Club Wyndham Towers on the Grove,102.0
87,Towers on the Grove Resort,1,Standard,12,,2,1 Bed,Wyndham Towers on the Grove at North Myrtle Beach - 1 Bedroom,Towers on the Grove Resort,Club Wyndham Towers on the Grove,102.0
87,Towers on the Grove Resort,2,Deluxe,12,,3,2 Beds,Wyndham Towers on the Grove at North Myrtle Beach - 2 Bedroom,Towers on the Grove Resort,Club Wyndham Towers on the Grove,102.0
88,SeaWatch Resort,2,Deluxe,12,,2,1 Bed,Wyndham SeaWatch Plantation - 1 Bedroom,SeaWatch Resort,Club Wyndham SeaWatch Resort,87.0
88,SeaWatch Resort,2,Deluxe,12,,3,2 Beds,Wyndham SeaWatch Plantation - 2 Bedroom,SeaWatch Resort,Club Wyndham SeaWatch Resort,87.0
89,Branson at The Meadows Resort,3,Suite,12,,2,1 Bed,Wyndham Branson at The Meadows - 1 Bedroom Suite,Branson at The Meadows Resort,Club Wyndham Branson at The Meadows,47.0
89,Branson at The Meadows Resort,2,Deluxe,12,,3,2 Beds,Wyndham Branson at The Meadows - 2 Bedroom Condo,Branson at The Meadows Resort,Club Wyndham Branson at The Meadows,47.0
91,Branson at The Falls Resort,1,Standard,12,,1,Studio,Wyndham Branson at the Falls - Studio,Branson at The Falls Resort,Club Wyndham Branson at The Falls,46.0
91,Branson at The Falls Resort,3,Suite,12,,2,1 Bed,Wyndham Branson at the Falls - 1 Bedroom Condo,Branson at The Falls Resort,Club Wyndham Branson at The Falls,46.0
91,Branson at The Falls Resort,1,Standard,12,,3,2 Beds,Wyndham Branson at the Falls - 2 Bedroom Lockoff,Branson at The Falls Resort,Club Wyndham Branson at The Falls,46.0
92,Smoky Mountains Resort,3,Suite,20,Condo,2,1 Bed,Wyndham Smoky Mountains - 1 Bedroom Condo,Smoky Mountains Resort,Club Wyndham Smoky Mountains,90.0
92,Smoky Mountains Resort,2,Deluxe,20,Condo,3,2 Beds,Wyndham Smoky Mountains - 2 Bedroom Condo,Smoky Mountains Resort,Club Wyndham Smoky Mountains,90.0
92,Smoky Mountains Resort,2,Deluxe,20,Condo,4,3 Beds,Wyndham Smoky Mountains - 3 Bedroom Condo,Smoky Mountains Resort,Club Wyndham Smoky Mountains,90.0
93,Desert Blue Resort,1,Standard,12,,1,Studio,Wyndham Desert Blue - Studio,Desert Blue Resort,Club Wyndham Desert Blue,172.0
93,Desert Blue Resort,3,Suite,12,,2,1 Bed,Wyndham Desert Blue - 1 Bedroom Suite,Desert Blue Resort,Club Wyndham Desert Blue,172.0
93,Desert Blue Resort,2,Deluxe,12,,3,2 Beds,Wyndham Desert Blue - 2 Bedroom Deluxe Suite,Desert Blue Resort,Club Wyndham Desert Blue,172.0
94,Fairfield Glade Resort,1,Standard,12,,1,Studio,Wyndham Resort at Fairfield Glade - Studio,Fairfield Glade Resort,Club Wyndham Resort at Fairfield Glade,77.0
94,Fairfield Glade Resort,2,Deluxe,12,,3,2 Beds,Wyndham Resort at Fairfield Glade - 2 Bedroom Condo,Fairfield Glade Resort,Club Wyndham Resort at Fairfield Glade,77.0
94,Fairfield Glade Resort,2,Deluxe,12,,5,4 Beds,Wyndham Resort at Fairfield Glade - 4 Bedroom Condo,Fairfield Glade Resort,Club Wyndham Resort at Fairfield Glade,77.0
95,Palm-Aire Resort,1,Standard,12,,1,Studio,Wyndham Palm-Aire - Studio,Palm-Aire Resort,Club Wyndham Palm-Aire,74.0
95,Palm-Aire Resort,2,Deluxe,12,,2,1 Bed,Wyndham Palm-Aire - 1 Bedroom Condo,Palm-Aire Resort,Club Wyndham Palm-Aire,74.0
95,Palm-Aire Resort,2,Deluxe,12,,3,2 Beds,Wyndham Palm-Aire - 2 Bedroom Condo,Palm-Aire Resort,Club Wyndham Palm-Aire,74.0
97,Star Island Resort,2,Deluxe,20,Condo,3,2 Beds,Wyndham Star Island - 2 Bedroom Condo,Star Island Resort,Club Wyndham Star Island,39.0
99,Great Smokies Lodge,2,Deluxe,12,,2,1 Bed,Wyndham Vacation Resorts Great Smokies Lodge - 1 Bedroom Deluxe,Great Smokies Lodge,Club Wyndham Great Smokies Lodge,97.0
99,Great Smokies Lodge,2,Deluxe,12,,3,2 Beds,Wyndham Vacation Resorts Great Smokies Lodge - 2 Bedroom Deluxe,Great Smokies Lodge,Club Wyndham Great Smokies Lodge,97.0
99,Great Smokies Lodge,2,Deluxe,12,,4,3 Beds,Wyndham Vacation Resorts Great Smokies Lodge - 3 Bedroom Deluxe,Great Smokies Lodge,Club Wyndham Great Smokies Lodge,97.0
99,Great Smokies Lodge,4,Presidential,12,,5,4 Beds,Wyndham Vacation Resorts Great Smokies Lodge - 4 Bedroom Presidential,Great Smokies Lodge,Club Wyndham Great Smokies Lodge,97.0
100,National Harbor Resort,2,Deluxe,12,,2,1 Bed,Wyndham Vacation Resorts at National Harbor - 1 Bedroom Deluxe,National Harbor Resort,Club Wyndham National Harbor,95.0
100,National Harbor Resort,2,Deluxe,12,,3,2 Beds,Wyndham Vacation Resorts at National Harbor - 2 Bedroom Deluxe,National Harbor Resort,Club Wyndham National Harbor,95.0
100,National Harbor Resort,2,Deluxe,12,,4,3 Beds,Wyndham Vacation Resorts at National Harbor - 3 Bedroom Deluxe,National Harbor Resort,Club Wyndham National Harbor,95.0
101,Ocean Ridge Resort,3,Suite,12,,2,1 Bed,Wyndham Ocean Ridge - 1 Bedroom Suite,Ocean Ridge Resort,Club Wyndham Ocean Ridge,15.0
101,Ocean Ridge Resort,2,Deluxe,12,,3,2 Beds,Wyndham Ocean Ridge - 2 Bedroom Deluxe,Ocean Ridge Resort,Club Wyndham Ocean Ridge,15.0
102,South Shore Resort,2,Deluxe,12,,2,1 Bed,Wyndham South Shore - 1 Bedroom Deluxe,South Shore Resort,Club Wyndham South Shore,91.0
102,South Shore Resort,2,Deluxe,12,,3,2 Beds,Wyndham South Shore - 2 Bedroom Deluxe,South Shore Resort,Club Wyndham South Shore,91.0
103,Park City Resort,2,Deluxe,12,,2,1 Bed,Wyndham Park City - 1 Bedroom Deluxe,Park City Resort,Club Wyndham Park City,170.0
103,Park City Resort,2,Deluxe,12,,3,2 Beds,Wyndham Park City - 2 Bedroom Deluxe,Park City Resort,Club Wyndham Park City,170.0
104,Patriot's Place Resort,2,Deluxe,12,,1,Studio,Wyndham Patriots Place - Studio,Patriot's Place Resort,Club Wyndham Patriots' Place,75.0
104,Patriot's Place Resort,3,Suite,12,,2,1 Bed,Wyndham Patriots Place - 1 Bedroom Suite,Patriot's Place Resort,Club Wyndham Patriots' Place,75.0
104,Patriot's Place Resort,2,Deluxe,12,,3,2 Beds,Wyndham Patriots Place - 2 Bedroom Lockoff,Patriot's Place Resort,Club Wyndham Patriots' Place,75.0
105,Kingsgate Resort,3,Suite,12,,2,1 Bed,Wyndham Kingsgate - 1 Bedroom Suite,Kingsgate Resort,Club Wyndham Kingsgate,60.0
105,Kingsgate Resort,2,Deluxe,12,,3,2 Beds,Wyndham Kingsgate - 2 Bedroom Deluxe,Kingsgate Resort,Club Wyndham Kingsgate,60.0
105,Kingsgate Resort,1,Standard,12,,4,3 Beds,Wyndham Kingsgate - 3 Bedroom Lockoff,Kingsgate Resort,Club Wyndham Kingsgate,60.0
106,Bali Hai Villas,3,Suite,12,,2,1 Bed,Wyndham Bali Hai Villas - 1 Bedroom Suite,Bali Hai Villas,Club Wyndham Bali Hai Villas,41.0
106,Bali Hai Villas,2,Deluxe,12,,3,2 Beds,Wyndham Bali Hai Villas - 2 Bedroom Deluxe,Bali Hai Villas,Club Wyndham Bali Hai Villas,41.0
107,Governor's Green Resort,3,Suite,12,,2,1 Bed,Wyndham Governor's Green - 1 Bedroom Suite,Governor's Green Resort,Club Wyndham Governor's Green,53.0
107,Governor's Green Resort,2,Deluxe,12,,3,2 Beds,Wyndham Governor's Green - 2 Bedroom Deluxe,Governor's Green Resort,Club Wyndham Governor's Green,53.0
107,Governor's Green Resort,2,Deluxe,12,,4,3 Beds,Wyndham Governor's Green - 3 Bedroom Deluxe,Governor's Green Resort,Club Wyndham Governor's Green,53.0
107,Governor's Green Resort,2,Deluxe,12,,5,4 Beds,Wyndham Governor's Green - 4 Bedroom Deluxe,Governor's Green Resort,Club Wyndham Governor's Green,53.0
108,Sedona Resort,3,Suite,12,,2,1 Bed,Wyndham Sedona - 1 Bedroom Suite,Sedona Resort,Club Wyndham Sedona,88.0
109,Flagstaff Resort,2,Deluxe,12,,2,1 Bed,Wyndham Flagstaff- 1 Bedroom Condo,Flagstaff Resort,Club Wyndham Flagstaff,52.0
109,Flagstaff Resort,2,Deluxe,12,,3,2 Beds,Wyndham Flagstaff- 2 Bedroom Condo,Flagstaff Resort,Club Wyndham Flagstaff,52.0
113,Angels Camp Resort,1,Standard,12,,2,1 Bed,Wyndham Angels Camp - 1 Bedroom Condo,Angels Camp Resort,Club Wyndham Angels Camp,105.0
113,Angels Camp Resort,1,Standard,12,,3,2 Beds,Wyndham Angels Camp - 2 Bedroom Condo,Angels Camp Resort,Club Wyndham Angels Camp,105.0
113,Angels Camp Resort,1,Standard,12,,4,3 Beds,Wyndham Angels Camp - 3 Bedroom Condo,Angels Camp Resort,Club Wyndham Angels Camp,105.0
114,Bentley Brook Resort,1,Standard,12,,1,Studio,Club Wyndham Bentley Brook Resort - Studio,Bentley Brook Resort,Club Wyndham Bentley Brook,23.0
114,Bentley Brook Resort,3,Suite,12,,2,1 Bed,Club Wyndham Bentley Brook Resort - 1 Bedroom,Bentley Brook Resort,Club Wyndham Bentley Brook,23.0
114,Bentley Brook Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Bentley Brook Resort - 2 Bedroom,Bentley Brook Resort,Club Wyndham Bentley Brook,23.0
116,Lake of the Ozarks Resort,1,Standard,12,,2,1 Bed,Wyndham Lake of the Ozarks 1 Bedroom,Lake of the Ozarks Resort,Club Wyndham Lake of the Ozarks,110.0
116,Lake of the Ozarks Resort,1,Standard,12,,3,2 Beds,Wyndham Lake of the Ozarks 2 Bedroom,Lake of the Ozarks Resort,Club Wyndham Lake of the Ozarks,110.0
117,Skyline Tower Resort,3,Suite,12,,2,1 Bed,Wyndham Skyline Tower - 1 Bedroom Suite,Skyline Tower Resort,Club Wyndham Skyline Tower,16.0
117,Skyline Tower Resort,2,Deluxe,12,,3,2 Beds,Wyndham Skyline Tower - 2 Bedroom Deluxe,Skyline Tower Resort,Club Wyndham Skyline Tower,16.0
118,Shawnee Village Resort,2,Deluxe,9,Villa,2,1 Bed,Wyndham Resorts at Shawnee Village - 1 Bedroom Villa,Shawnee Village Resort,Club Wyndham Shawnee Village,101.0
118,Shawnee Village Resort,2,Deluxe,9,Villa,3,2 Beds,Wyndham Resorts at Shawnee Village - 2 Bedroom Villa,Shawnee Village Resort,Club Wyndham Shawnee Village,101.0
119,Avenue Plaza Resort,2,Deluxe,12,,1,Studio,Wyndham Avenue Plaza Studio Deluxe,Avenue Plaza Resort,Club Wyndham Avenue Plaza,32.0
119,Avenue Plaza Resort,2,Deluxe,12,,2,1 Bed,Wyndham Avenue Plaza 1 Bedroom Deluxe,Avenue Plaza Resort,Club Wyndham Avenue Plaza,32.0
