ResortId,Resort,RoomTypeID,RoomType,PropertyTypeId,PropertyType,BedroomID,BedType,Name,Resort name in tzort ,Resort Name in wyndham,resort id in wyndham onwner site
121,Panama City Beach Resort,1,Standard,12,,1,Studio,Club Wyndham Panama City Beach - Studio,Panama City Beach Resort,Club Wyndham Panama City Beach,99.0
121,Panama City Beach Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Panama City Beach - 1 Bedroom,Panama City Beach Resort,Club Wyndham Panama City Beach,99.0
121,Panama City Beach Resort,1,Standard,12,,3,2 Beds,Club Wyndham Panama City Beach - 2 Bedroom,Panama City Beach Resort,Club Wyndham Panama City Beach,99.0
123,Majestic Sun Resort,3,Suite,12,,2,1 Bed,Wyndham Majestic Sun - 1 Bedroom,Majestic Sun Resort,Club Wyndham at Majestic Sun,94.0
123,Majestic Sun Resort,2,Deluxe,12,,3,2 Beds,Wyndham Majestic Sun - 2 Bedroom,Majestic Sun Resort,Club Wyndham at Majestic Sun,94.0
126,Margaritaville - Nashville,2,Deluxe,12,,1,Studio,Margaritaville Vacation Club by Wyndham at Nashville - Studio,Margaritaville - Nashville,,
127,Emerald Grande Resort at Destin,1,Standard,12,,2,1 Bed,Club Wyndham Emerald Grande - 1 Bedroom,Emerald Grande Resort at Destin,Club Wyndham Emerald GrandeÃ‚â„¢ at Destin,96.0
127,Emerald Grande Resort at Destin,2,Deluxe,12,,4,3 Beds,Club Wyndham Emerald Grandeâ„¢ - 3 Bedroom Deluxe,Emerald Grande Resort at Destin,Club Wyndham Emerald GrandeÃ‚â„¢ at Destin,96.0
139,Dolphin's Cove Resort,3,Suite,12,,2,1 Bed,Club Wyndham Dolphin's Cove - 1 Bedroom Suite,Dolphin's Cove Resort,Club Wyndham Dolphin's Cove,35.0
139,Dolphin's Cove Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Dolphin's Cove - 2 Bedroom Deluxe,Dolphin's Cove Resort,Club Wyndham Dolphin's Cove,35.0
141,Waikiki Beach Walk Resort,3,Suite,12,,2,1 Bed,Club Wyndham at Waikiki Beach WalkÂ® - 1 Bedroom Suite,Waikiki Beach Walk Resort,Club Wyndham at Waikiki Beach WalkÃ‚Â®,25.0
141,Waikiki Beach Walk Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham at Waikiki Beach WalkÂ® - 2 Bedroom Deluxe,Waikiki Beach Walk Resort,Club Wyndham at Waikiki Beach WalkÃ‚Â®,25.0
142,Clearwater Beach Resort,2,Deluxe,12,,2,1 Bed,Wyndham Clearwater Beach Resort - 1 Bedroom Deluxe,Clearwater Beach Resort,Club Wyndham Clearwater Beach,279.0
147,Avon Resort,4,Presidential,12,,1,Studio,Club Wyndham Resort at Avon - Studio Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
147,Avon Resort,4,Presidential,12,,2,1 Bed,Club Wyndham Resort at Avon - 1 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
147,Avon Resort,4,Presidential,12,,3,2 Beds,Club Wyndham Resort at Avon - 2 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
147,Avon Resort,4,Presidential,12,,4,3 Beds,Club Wyndham Resort at Avon - 3 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
148,Fairfield Sapphire Valley,3,Suite,12,,2,1 Bed,Club Wyndham Resort at Fairfield Sapphire Valley - 1 Bedroom Suite,Fairfield Sapphire Valley,Club Wyndham Resort at Fairfield Sapphire Valley,81.0
148,Fairfield Sapphire Valley,2,Deluxe,12,,3,2 Beds,Club Wyndham Resort at Fairfield Sapphire Valley - 2 Bedroom Condo,Fairfield Sapphire Valley,Club Wyndham Resort at Fairfield Sapphire Valley,81.0
149,Royal Sea Cliff Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Royal Sea Cliff - 1 Bedroom Deluxe,Royal Sea Cliff Resort,Club Wyndham Royal Sea Cliff,83.0
149,Royal Sea Cliff Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Royal Sea Cliff - 2 Bedroom Deluxe,Royal Sea Cliff Resort,Club Wyndham Royal Sea Cliff,83.0
150,Royal Vista Resort,2,Deluxe,12,,2,1 Bed,Wyndham Royal Vista - 1 Bedroom Condo,Royal Vista Resort,Club Wyndham Royal Vista,84.0
150,Royal Vista Resort,2,Deluxe,12,,3,2 Beds,Wyndham Royal Vista - 2 Bedroom Condo,Royal Vista Resort,Club Wyndham Royal Vista,84.0
151,Wyndham Santa Barbara,1,Standard,12,,1,Studio,Club Wyndham Santa Barbara - Studio,Wyndham Santa Barbara,Club Wyndham Santa Barbara,85.0
151,Wyndham Santa Barbara,1,Standard,12,,2,1 Bed,Club Wyndham Santa Barbara - 1 Bedroom,Wyndham Santa Barbara,Club Wyndham Santa Barbara,85.0
152,Sea Gardens Resort,1,Standard,20,Condo,1,Studio,Wyndham Sea Gardens - Studio Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
152,Sea Gardens Resort,2,Deluxe,20,Condo,2,1 Bed,Wyndham Sea Gardens - 1 Bedroom Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
152,Sea Gardens Resort,2,Deluxe,20,Condo,3,2 Beds,Wyndham Sea Gardens - 2 Bedroom Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
153,Margaritaville - St. Thomas,1,Standard,12,,1,Studio,Margaritaville Vacation Club by Wyndham - St. Thomas - Studio,Margaritaville - St. Thomas,Margaritaville Vacation Club by Wyndham - St. Thomas,169.0
155,Royal Garden at Waikiki,1,Standard,12,,1,Studio,Club Wyndham Royal Garden at Waikiki - Studio,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
155,Royal Garden at Waikiki,4,Presidential,12,,2,1 Bed,Club Wyndham Royal Garden at Waikiki - 1 Bedroom Presidential,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
155,Royal Garden at Waikiki,4,Presidential,12,,3,2 Beds,Club Wyndham Royal Garden at Waikiki - 2 Bedroom Presidential,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
156,La Belle Maison Resort,3,Suite,12,,1,Studio,Wyndham La Belle Maison - Studio,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
156,La Belle Maison Resort,3,Suite,12,,2,1 Bed,Wyndham La Belle Maison - 1 Bedroom,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
156,La Belle Maison Resort,3,Suite,20,Condo,3,2 Beds,Wyndham La Belle Maison - 2 Bedroom,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
158,Durango Resort,1,Standard,12,,2,1 Bed,Club Wyndham Durango - 1 Bedroom,Durango Resort,Club Wyndham Durango,50.0
159,Harbour Lights Resort,1,Standard,12,,1,Studio,Club Wyndham Harbour Lights - Studio,Harbour Lights Resort,Club Wyndham Harbour Lights,55.0
159,Harbour Lights Resort,1,Standard,12,,2,1 Bed,Club Wyndham Harbour Lights - 1 Bedroom,Harbour Lights Resort,Club Wyndham Harbour Lights,55.0
160,King Cotton Villas Resort,4,Presidential,20,Condo,4,3 Beds,Club Wyndham King Cotton Villas - 3 Bedroom,King Cotton Villas Resort,Club Wyndham King Cotton Villas,6.0
161,Oceanside Pier Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Oceanside Pier Resort - 1 Bedroom,Oceanside Pier Resort,Club Wyndham Oceanside Pier Resort,71.0
161,Oceanside Pier Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Oceanside Pier Resort - 2 Bedroom,Oceanside Pier Resort,Club Wyndham Oceanside Pier Resort,71.0
163,Taos Resort,1,Standard,12,,1,Studio,Wyndham Taos - Studio,Taos Resort,Club Wyndham Taos,112.0
163,Taos Resort,1,Standard,12,,2,1 Bed,Wyndham Taos - 1 Bedroom Suite,Taos Resort,Club Wyndham Taos,112.0
164,Fairfield Harbour Resort,2,Deluxe,12,,3,2 Beds,Wyndham Resort at Fairfield Harbour- 2 Bedroom,Fairfield Harbour Resort,Club Wyndham Fairfield Harbour,78.0
167,Margaritaville - Desert Blue,2,Deluxe,12,,4,3 Beds,Wyndham Maragritaville Desert Blue - 3 Bedroom Deluxe,Margaritaville - Desert Blue,Margaritaville Vacation Club by Wyndham - Desert Blue,294.0
170,Anaheim Resort,1,Standard,12,,1,Studio,Club Wyndham Anaheim - Studio,Anaheim Resort,Club Wyndham Anaheim,104.0
170,Anaheim Resort,1,Standard,12,,2,1 Bed,Club Wyndham Anaheim - 1 Bedroom,Anaheim Resort,Club Wyndham Anaheim,104.0
170,Anaheim Resort,1,Standard,12,,3,2 Beds,Club Wyndham Anaheim - 2 Bedroom,Anaheim Resort,Club Wyndham Anaheim,104.0
171,Bay Club Resort,1,Standard,12,,1,Studio,Club Wyndham Bay Club - Studio Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
171,Bay Club Resort,1,Standard,12,,2,1 Bed,Club Wyndham Bay Club - 1 Bedroom Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
171,Bay Club Resort,1,Standard,12,,3,2 Beds,Club Wyndham Bay Club - 2 Bedroom Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
172,Beach Street Cottages Resort,1,Standard,12,,1,Studio,Club Wyndham Beach Street Cottages - Studio,Beach Street Cottages Resort,Club Wyndham Beach Street Cottages,44.0
172,Beach Street Cottages Resort,1,Standard,12,,2,1 Bed,Club Wyndham Beach Street Cottagesâ„¢ - 1 Bedroom,Beach Street Cottages Resort,Club Wyndham Beach Street Cottages,44.0
174,La Cascada Resort,3,Suite,12,,2,1 Bed,Wyndham La Cascada - 1 Bedroom,La Cascada Resort,Club Wyndham La Cascada,14.0
174,La Cascada Resort,1,Standard,12,,3,2 Beds,Club Wyndham La Cascada - 2 Bedroom,La Cascada Resort,Club Wyndham La Cascada,14.0
176,Riverside Suites Resort,1,Standard,12,,1,Studio,Club Wyndham Riverside Suites - Studio,Riverside Suites Resort,Club Wyndham Riverside Suites,82.0
176,Riverside Suites Resort,1,Standard,12,,2,1 Bed,Club Wyndham Riverside Suites - 1 Bedroom Condo,Riverside Suites Resort,Club Wyndham Riverside Suites,82.0
176,Riverside Suites Resort,1,Standard,12,,3,2 Beds,Club Wyndham Riverside Suites - 2 Bedroom Condo,Riverside Suites Resort,Club Wyndham Riverside Suites,82.0
178,Tamarack Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Tamarack - 1 Bedroom,Tamarack Resort,Club Wyndham Tamarack,92.0
178,Tamarack Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Tamarack - 2 Bedroom,Tamarack Resort,Club Wyndham Tamarack,92.0
179,Old Town Alexandria Resort,2,Deluxe,12,,2,1 Bed,Wyndham Old Town Alexandria - 1 Bedroom Condo,Old Town Alexandria Resort,Club Wyndham Old Town Alexandria,72.0
179,Old Town Alexandria Resort,2,Deluxe,12,,3,2 Beds,Wyndham Old Town Alexandria - 2 Bedroom Condo,Old Town Alexandria Resort,Club Wyndham Old Town Alexandria,72.0
184,Vino Bello Resort,1,Standard,12,,1,Studio,Club Wyndham Vino Bello Resort - Studio,Vino Bello Resort,Club Wyndham Vino Bello Resort,309.0
184,Vino Bello Resort,1,Standard,12,,2,1 Bed,Club Wyndham Vino Bello Resort - 1 Bedroom,Vino Bello Resort,Club Wyndham Vino Bello Resort,309.0
184,Vino Bello Resort,1,Standard,12,,3,2 Beds,Club Wyndham Vino Bello Resort - 2 Bedroom,Vino Bello Resort,Club Wyndham Vino Bello Resort,309.0
185,Auberge du Lac Morency Resort,1,Standard,12,,1,Studio,Club GeoPremiere at Auberge du Lac Morency - Studio,Auberge du Lac Morency Resort,Club GeoPremiere at Auberge du Lac Morency,118.0
185,Auberge du Lac Morency Resort,1,Standard,12,,2,1 Bed,Club GeoPremiere at Auberge du Lac Morency - 1 Bedroom,Auberge du Lac Morency Resort,Club GeoPremiere at Auberge du Lac Morency,118.0
185,Auberge du Lac Morency Resort,1,Standard,12,,3,2 Beds,Club GeoPremiere at Auberge du Lac Morency - 2 Bedroom,Auberge du Lac Morency Resort,Club GeoPremiere at Auberge du Lac Morency,118.0
186,Pinetop Resort,1,Standard,12,,1,Studio,Wyndham Pinetop - Studio,Pinetop Resort,Club Wyndham Pinetop,115.0
186,Pinetop Resort,1,Standard,12,,2,1 Bed,Wyndham Pinetop - 1 Bedroom Deluxe,Pinetop Resort,Club Wyndham Pinetop,115.0
186,Pinetop Resort,1,Standard,12,,3,2 Beds,Wyndham Pinetop - 2 Bedroom Deluxe,Pinetop Resort,Club Wyndham Pinetop,115.0
187,Club Wyndham Mauna Loa Village,1,Standard,12,,2,1 Bed,Club Wyndham Mauna Loa Village - 1 Bedroom,Club Wyndham Mauna Loa Village,Club Wyndham Holua Resort at the Mauna Loa Village,317.0
187,Club Wyndham Mauna Loa Village,1,Standard,12,,3,2 Beds,Club Wyndham Mauna Loa Village - 2 Bedroom,Club Wyndham Mauna Loa Village,Club Wyndham Holua Resort at the Mauna Loa Village,317.0
197,The Legacy Golf Resort,1,Standard,12,,1,Studio,Wyndham The Legacy Golf Resort - Studio,The Legacy Golf Resort,Club Wyndham Legacy Golf Resort,306.0
197,The Legacy Golf Resort,3,Suite,12,,2,1 Bed,Wyndham The Legacy Golf Resort - 1 Bedroom,The Legacy Golf Resort,Club Wyndham Legacy Golf Resort,306.0
198,Orange Tree Resort,1,Standard,12,,2,1 Bed,Club Wyndham Orange Tree Resort - 1 Bedroom,Orange Tree Resort,Club Wyndham Orange Tree Resort,302.0
199,Rancho Vistoso Resort,1,Standard,12,,1,Studio,Club Wyndham Rancho Vistoso Resort - Studio,Rancho Vistoso Resort,Club Wyndham Rancho Vistoso,111.0
199,Rancho Vistoso Resort,1,Standard,12,,2,1 Bed,Club Wyndham Rancho Vistoso Resort - 1 Bedroom,Rancho Vistoso Resort,Club Wyndham Rancho Vistoso,111.0
199,Rancho Vistoso Resort,1,Standard,12,,3,2 Beds,Club Wyndham Rancho Vistoso Resort - 2 Bedroom,Rancho Vistoso Resort,Club Wyndham Rancho Vistoso,111.0
199,Rancho Vistoso Resort,1,Standard,12,,4,3 Beds,Club Wyndham Rancho Vistoso Resort - 3 Bedroom,Rancho Vistoso Resort,Club Wyndham Rancho Vistoso,111.0
200,El Cid El Moro Beach Hotel,1,Standard,12,,1,Studio,Wyndham El Cid El Moro Beach Hotel - Studio,El Cid El Moro Beach Hotel,El Cid El Moro Beach Hotel,120.0
200,El Cid El Moro Beach Hotel,1,Standard,12,,2,1 Bed,Wyndham El Cid El Moro Beach Hotel - 1 Bedroom,El Cid El Moro Beach Hotel,El Cid El Moro Beach Hotel,120.0
200,El Cid El Moro Beach Hotel,1,Standard,12,,3,2 Beds,Wyndham El Cid El Moro Beach Hotel - 2 Bedroom,El Cid El Moro Beach Hotel,El Cid El Moro Beach Hotel,120.0
201,El Cid Marina Beach Hotel & Yacht Club,1,Standard,12,,1,Studio,Wyndham El Cid Marina Beach Hotel & Yacht Club - Studio,El Cid Marina Beach Hotel & Yacht Club,El Cid Marina Beach Hotel & Yacht Club,123.0
201,El Cid Marina Beach Hotel & Yacht Club,1,Standard,12,,2,1 Bed,Wyndham El Cid Marina Beach Hotel & Yacht Club - 1 Bedroom,El Cid Marina Beach Hotel & Yacht Club,El Cid Marina Beach Hotel & Yacht Club,123.0
202,Limetree Beach Resort,1,Standard,12,,1,Studio,Limetree Beach Resort by Club Wyndham - Studio,Limetree Beach Resort,Limetree Beach Resort by Club Wyndham,34.0
202,Limetree Beach Resort,3,Suite,12,,2,1 Bed,Limetree Beach Resort by Club Wyndham - 1 Bedroom,Limetree Beach Resort,Limetree Beach Resort by Club Wyndham,34.0
205,Angel Fire Resort,1,Standard,12,,1,Studio,Wyndham Angel Fire Resort - Studio,Angel Fire Resort,Angel Fire Resort,116.0
205,Angel Fire Resort,1,Standard,12,,2,1 Bed,Wyndham Angel Fire Resort - 1 Bedroom Lockoff,Angel Fire Resort,Angel Fire Resort,116.0
205,Angel Fire Resort,2,Deluxe,12,,3,2 Beds,Wyndham Angel Fire Resort - 2 Bedroom Condo,Angel Fire Resort,Angel Fire Resort,116.0
208,Peacock Suites,1,Standard,12,,2,1 Bed,Wyndham Peacock Suites - 1 Bedroom,Peacock Suites,Club Wyndham Peacock Suites,310.0
208,Peacock Suites,1,Standard,12,,3,2 Beds,Wyndham Peacock Suites - 2 Bedroom,Peacock Suites,Club Wyndham Peacock Suites,310.0
238,Kingstown Reef Resort,3,Suite,12,,2,1 Bed,Club Wyndham Kingstown Reef - 1 Bedroom Suite,Kingstown Reef Resort,Club Wyndham Kingstown Reef,318.0
238,Kingstown Reef Resort,3,Suite,20,Condo,3,2 Beds,WorldMark Kingstown Reef - 2 Bedroom Twin,Kingstown Reef Resort,Club Wyndham Kingstown Reef,318.0
238,Kingstown Reef Resort,3,Suite,12,,3,2 Beds,Club Wyndham Kingstown Reef - 2 Bedroom Suite,Kingstown Reef Resort,Club Wyndham Kingstown Reef,318.0
251,Indio Resort,1,Standard,12,,2,1 Bed,Club Wyndham Indio - 1 Bedroom,Indio Resort,Club Wyndham Indio,109.0
251,Indio Resort,1,Standard,12,,3,2 Beds,Club Wyndham Indio - 2 Bedroom,Indio Resort,Club Wyndham Indio,109.0
251,Indio Resort,1,Standard,12,,4,3 Beds,Club Wyndham Indio - 3 Bedroom,Indio Resort,Club Wyndham Indio,109.0
258,Bison Ranch Resort,1,Standard,12,,3,2 Beds,Club Wyndham Bison Ranch - 2 Bedroom,Bison Ranch Resort,Club Wyndham Bison Ranch,106.0
259,Grand Palms Resort,1,Standard,12,,1,Studio,Club Wyndham Grand Palms - Studio,Grand Palms Resort,Club Wyndham Grand Palms,287.0
259,Grand Palms Resort,1,Standard,12,,2,1 Bed,Club Wyndham Grand Palms - 1 Bedroom,Grand Palms Resort,Club Wyndham Grand Palms,287.0
259,Grand Palms Resort,1,Standard,12,,3,2 Beds,Club Wyndham Grand Palms - 2 Bedroom,Grand Palms Resort,Club Wyndham Grand Palms,287.0
259,Grand Palms Resort,1,Standard,12,,4,3 Beds,Club Wyndham Grand Palms - 3 Bedroom,Grand Palms Resort,Club Wyndham Grand Palms,287.0
260,El Cid Granada Hotel & Country Club,1,Standard,12,,1,Studio,Wyndham El Cid Granada Hotel & Country Club - Studio,El Cid Granada Hotel & Country Club,El Cid Granada Hotel & Country Club,121.0
436,WorldMark Marina Dunes,1,Standard,12,,3,2 Beds,WorldMark Marina Dunes - 2 Bedroom,WorldMark Marina Dunes,WorldMark Marina Dunes,209.0
439,Atlanta Resort,2,Deluxe,12,,1,Studio,Club Wyndham Atlanta - Studio Deluxe,Atlanta Resort,Club Wyndham Atlanta,335.0
439,Atlanta Resort,3,Suite,12,,2,1 Bed,Club Wyndham Atlanta - 1 Bedroom Suite,Atlanta Resort,Club Wyndham Atlanta,335.0
439,Atlanta Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Atlanta - 2 Bedroom Deluxe,Atlanta Resort,Club Wyndham Atlanta,335.0
465,Kaua'i Beach Villas,3,Suite,12,,2,1 Bed,Club Wyndham Kauai Beach Villas - 1 Bedroom,Kaua'i Beach Villas,Kauai Beach Villas,59.0
465,Kaua'i Beach Villas,2,Deluxe,12,,3,2 Beds,Club Wyndham Kauai Beach Villas - 2 Bedroom Deluxe,Kaua'i Beach Villas,Kauai Beach Villas,59.0
528,Club Wyndham Elysian Beach Resort,2,Deluxe,12,,1,Studio,Club Wyndham Elysian Beach Resort - Studio Parlor,Club Wyndham Elysian Beach Resort,Club Wyndham Elysian Beach Resort,36.0
528,Club Wyndham Elysian Beach Resort,3,Suite,12,,1,Studio,Club Wyndham Elysian Beach Resort - Studio Double,Club Wyndham Elysian Beach Resort,Club Wyndham Elysian Beach Resort,36.0
528,Club Wyndham Elysian Beach Resort,1,Standard,12,,1,Studio,Club Wyndham Elysian Beach Resort - Studio King,Club Wyndham Elysian Beach Resort,Club Wyndham Elysian Beach Resort,36.0
