OrderId,Dated,ResortId,Resort,VendorId,Vendor,Arrival,Departure,PropertyType,PropertyTypeId,RoomType,RoomTypeId,Studio,Bed1,Bed2,Bed3,Bed4,Status,MinUnits
102729,2025-09-15 20:17:15.870,69,Mountain Vista Resort,2,Wyndham,2025-10-07,2025-10-13,None,12,Deluxe,2,True,False,False,False,False,Searching,5
102034,2025-08-29 18:09:52.883,69,Mountain Vista Resort,2,Wyndham,2025-10-11,2025-10-18,None,12,Deluxe,2,False,False,True,False,False,Searching,3
102034,2025-08-29 18:09:52.883,69,Mountain Vista Resort,2,Wyndham,2025-10-11,2025-10-18,None,12,Deluxe,2,False,False,True,False,False,Searching,3
102090,2025-08-31 12:21:07.727,69,Mountain Vista Resort,2,Wyndham,2025-10-14,2025-10-17,None,12,Deluxe,2,False,False,True,False,False,Searching,4
95264,2025-03-05 13:43:31.107,69,Mountain Vista Resort,2,Wyndham,2025-11-22,2025-11-29,None,12,Deluxe,2,False,False,True,False,False,Searching,3
98760,2025-05-22 23:49:10.703,69,Mountain Vista Resort,2,Wyndham,2025-12-08,2025-12-10,None,12,Deluxe,2,False,False,True,False,False,Searching,17
101358,2025-08-10 14:28:16.170,69,Mountain Vista Resort,2,Wyndham,2025-12-14,2025-12-21,None,12,Deluxe,2,False,False,True,False,False,Searching,7
102160,2025-09-01 21:22:51.233,69,Mountain Vista Resort,2,Wyndham,2025-12-15,2025-12-19,None,12,Deluxe,2,False,False,True,False,False,Searching,7
101304,2025-08-08 14:15:31.167,69,Mountain Vista Resort,2,Wyndham,2025-12-16,2025-12-20,None,12,Deluxe,2,False,False,True,False,False,Searching,7
103122,2025-09-25 09:56:13.663,69,Mountain Vista Resort,2,Wyndham,2025-12-18,2025-12-22,None,12,Deluxe,2,False,False,True,False,False,Searching,7
102485,2025-09-09 13:20:41.413,69,Mountain Vista Resort,2,Wyndham,2025-12-19,2025-12-22,None,12,Deluxe,2,False,False,True,False,False,Searching,28
102967,2025-09-21 15:09:24.347,69,Mountain Vista Resort,2,Wyndham,2025-12-19,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,28
103155,2025-09-25 21:57:41.500,69,Mountain Vista Resort,2,Wyndham,2025-12-19,2025-12-22,None,12,Deluxe,2,False,False,True,False,False,Searching,28
88937,2024-10-13 18:50:39.410,69,Mountain Vista Resort,2,Wyndham,2025-12-19,2025-12-26,None,12,Deluxe,2,False,False,True,False,False,Searching,28
101497,2025-08-13 14:34:52.020,69,Mountain Vista Resort,2,Wyndham,2025-12-20,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,42
102891,2025-09-19 13:27:25.143,69,Mountain Vista Resort,2,Wyndham,2025-12-20,2025-12-23,None,12,Deluxe,2,False,False,True,False,False,Searching,42
103175,2025-09-26 12:09:09.463,69,Mountain Vista Resort,2,Wyndham,2025-12-20,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,42
103348,2025-09-30 21:42:52.590,69,Mountain Vista Resort,2,Wyndham,2025-12-21,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,42
101767,2025-08-22 09:32:46.890,69,Mountain Vista Resort,2,Wyndham,2025-12-21,2025-12-26,None,12,Deluxe,2,False,False,True,False,False,Searching,37
101064,2025-08-01 21:29:18.373,69,Mountain Vista Resort,2,Wyndham,2026-07-18,2026-07-26,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102623,2025-09-12 18:40:15.960,70,Ocean Walk Resort,2,Wyndham,2025-10-10,2025-10-15,None,12,Deluxe,2,False,False,True,False,False,Searching,0
93761,2025-02-07 23:49:01.067,70,Ocean Walk Resort,2,Wyndham,2025-10-16,2025-10-19,None,12,Deluxe,2,False,False,True,False,False,Searching,0
97063,2025-04-06 17:57:39.203,70,Ocean Walk Resort,2,Wyndham,2025-10-24,2025-10-29,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102784,2025-09-16 23:02:45.080,70,Ocean Walk Resort,2,Wyndham,2025-11-24,2025-12-01,None,12,Deluxe,2,False,False,True,False,False,Searching,23
93384,2025-01-30 20:15:08.563,70,Ocean Walk Resort,2,Wyndham,2025-11-27,2025-12-01,None,12,Suite,3,False,True,False,False,False,Searching,35
102265,2025-09-04 08:04:37.727,70,Ocean Walk Resort,2,Wyndham,2025-12-04,2025-12-08,None,12,Deluxe,2,False,False,True,False,False,Searching,73
103053,2025-09-23 14:59:48.807,70,Ocean Walk Resort,2,Wyndham,2025-12-08,2025-12-12,None,12,Deluxe,2,False,False,True,False,False,Searching,79
99902,2025-06-28 11:56:32.580,70,Ocean Walk Resort,2,Wyndham,2025-12-14,2025-12-17,None,12,Deluxe,2,False,False,True,False,False,Searching,106
102384,2025-09-06 22:34:19.253,70,Ocean Walk Resort,2,Wyndham,2025-12-14,2025-12-20,None,12,Deluxe,2,False,False,True,False,False,Searching,106
103121,2025-09-25 09:21:50.343,70,Ocean Walk Resort,2,Wyndham,2025-12-30,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,7
102688,2025-09-14 15:35:28.223,70,Ocean Walk Resort,2,Wyndham,2025-12-31,2026-01-08,None,12,Deluxe,2,False,False,True,False,False,Searching,7
97531,2025-04-18 18:53:28.820,70,Ocean Walk Resort,2,Wyndham,2026-01-04,2026-01-08,None,12,Deluxe,2,False,False,True,False,False,Searching,75
100703,2025-07-22 15:02:04.467,70,Ocean Walk Resort,2,Wyndham,2026-01-16,2026-01-31,None,12,Suite,3,False,True,False,False,False,Searching,33
102660,2025-09-13 16:06:48.547,70,Ocean Walk Resort,2,Wyndham,2026-01-20,2026-02-02,None,12,Deluxe,2,False,False,True,False,False,Searching,13
101089,2025-08-02 17:51:20.557,70,Ocean Walk Resort,2,Wyndham,2026-01-23,2026-01-25,None,12,Deluxe,2,False,False,True,False,False,Searching,13
102316,2025-09-05 14:03:16.737,70,Ocean Walk Resort,2,Wyndham,2026-01-23,2026-01-25,None,12,Deluxe,2,False,False,True,False,False,Searching,13
100752,2025-07-23 19:37:43.460,70,Ocean Walk Resort,2,Wyndham,2026-02-07,2026-02-10,None,12,Suite,3,False,True,False,False,False,Searching,59
102250,2025-09-03 20:52:20.153,70,Ocean Walk Resort,2,Wyndham,2026-02-12,2026-02-16,None,12,Deluxe,2,False,False,True,False,False,Searching,0
92908,2025-01-20 17:17:07.257,70,Ocean Walk Resort,2,Wyndham,2026-02-14,2026-02-16,None,12,Suite,3,False,True,False,False,False,Searching,0
100586,2025-07-19 17:03:33.897,70,Ocean Walk Resort,2,Wyndham,2026-02-22,2026-02-24,None,12,Deluxe,2,False,False,True,False,False,Searching,54
101097,2025-08-03 03:04:06.957,70,Ocean Walk Resort,2,Wyndham,2026-02-27,2026-03-06,None,12,Suite,3,False,True,False,False,False,Searching,0
102986,2025-09-21 21:43:14.317,70,Ocean Walk Resort,2,Wyndham,2026-03-02,2026-03-06,None,12,Suite,3,False,True,False,False,False,Searching,0
102331,2025-09-05 20:49:37.960,70,Ocean Walk Resort,2,Wyndham,2026-04-08,2026-04-11,None,12,Suite,3,False,True,False,False,False,Searching,0
103170,2025-09-26 09:09:20.000,70,Ocean Walk Resort,2,Wyndham,2026-04-08,2026-04-11,None,12,Suite,3,False,True,False,False,False,Searching,0
97313,2025-04-12 16:51:40.193,70,Ocean Walk Resort,2,Wyndham,2026-04-08,2026-04-12,None,12,Deluxe,2,False,False,True,False,False,Searching,4
99324,2025-06-09 18:07:22.993,70,Ocean Walk Resort,2,Wyndham,2026-04-08,2026-04-12,None,12,Deluxe,2,False,False,True,False,False,Searching,4
99691,2025-06-22 16:09:24.930,70,Ocean Walk Resort,2,Wyndham,2026-04-09,2026-04-12,None,12,Suite,3,False,True,False,False,False,Searching,14
94880,2025-02-27 15:31:55.047,71,Margaritaville - Rio Mar,2,Wyndham,2025-11-25,2025-12-01,None,12,Deluxe,2,False,True,False,False,False,Searching,0
101815,2025-08-24 09:41:52.340,71,Margaritaville - Rio Mar,2,Wyndham,2025-12-28,2026-01-01,None,12,Deluxe,2,True,False,False,False,False,Searching,0
103313,2025-09-30 00:13:12.110,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-02,2025-10-04,Condo,20,Deluxe,2,False,False,True,False,False,Searching,0
99077,2025-06-01 21:12:39.653,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-05,2025-10-07,Condo,20,Deluxe,2,False,False,True,False,False,Searching,0
102084,2025-08-31 09:43:26.880,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-05,2025-10-07,None,12,Suite,3,False,True,False,False,False,Searching,0
99957,2025-06-29 23:02:41.097,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-08,2025-10-11,None,12,Suite,3,False,True,False,False,False,Searching,0
101856,2025-08-25 07:05:27.760,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-08,2025-10-10,None,12,Suite,3,False,True,False,False,False,Searching,0
102345,2025-09-06 02:10:01.383,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-14,2025-10-16,None,12,Suite,3,False,True,False,False,False,Searching,0
101948,2025-08-27 09:42:08.477,72,Smugglers' Notch Vermont Resort,2,Wyndham,2025-10-19,2025-10-22,None,12,Suite,3,False,True,False,False,False,Searching,0
102410,2025-09-07 22:52:07.207,72,Smugglers' Notch Vermont Resort,2,Wyndham,2026-01-28,2026-02-01,Condo,20,Deluxe,2,False,False,True,False,False,Searching,14
102007,2025-08-28 18:37:35.623,72,Smugglers' Notch Vermont Resort,2,Wyndham,2026-02-13,2026-02-22,Condo,20,Deluxe,2,False,False,True,False,False,Searching,2
101246,2025-08-06 20:08:48.467,72,Smugglers' Notch Vermont Resort,2,Wyndham,2026-03-07,2026-03-14,None,12,Deluxe,2,False,False,False,True,False,Searching,0
97290,2025-04-11 20:58:11.083,72,Smugglers' Notch Vermont Resort,2,Wyndham,2026-03-14,2026-03-18,Condo,20,Deluxe,2,False,False,True,False,False,Searching,26
93110,2025-01-24 15:45:29.143,73,Steamboat Springs Resort,2,Wyndham,2025-12-19,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,12
99311,2025-06-09 08:57:18.497,73,Steamboat Springs Resort,2,Wyndham,2025-12-26,2025-12-28,None,12,Deluxe,2,False,False,True,False,False,Searching,0
94237,2025-02-17 19:48:59.313,73,Steamboat Springs Resort,2,Wyndham,2025-12-26,2025-12-30,None,12,Deluxe,2,False,False,True,False,False,Searching,0
91958,2025-01-02 11:31:23.683,73,Steamboat Springs Resort,2,Wyndham,2025-12-27,2026-01-04,None,12,Deluxe,2,False,False,True,False,False,Searching,0
99883,2025-06-27 21:42:12.887,73,Steamboat Springs Resort,2,Wyndham,2025-12-31,2026-01-04,None,12,Deluxe,2,False,False,True,False,False,Searching,0
99580,2025-06-18 11:03:47.597,73,Steamboat Springs Resort,2,Wyndham,2026-01-04,2026-01-06,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102086,2025-08-31 11:42:15.513,73,Steamboat Springs Resort,2,Wyndham,2026-01-18,2026-01-21,None,12,Deluxe,2,False,False,True,False,False,Searching,4
100556,2025-07-18 17:23:12.303,73,Steamboat Springs Resort,2,Wyndham,2026-01-31,2026-02-04,None,12,Deluxe,2,False,True,False,False,False,Searching,10
101249,2025-08-06 20:27:26.350,73,Steamboat Springs Resort,2,Wyndham,2026-06-17,2026-06-21,None,12,Deluxe,2,False,False,False,True,False,Searching,0
101048,2025-08-01 15:47:44.277,73,Steamboat Springs Resort,2,Wyndham,2026-08-31,2026-09-02,None,12,Deluxe,2,False,False,False,True,False,Searching,0
103345,2025-09-30 19:52:39.307,74,Ocean Boulevard Resort,2,Wyndham,2026-03-09,2026-03-14,None,12,Deluxe,2,False,False,True,False,False,Searching,172
101529,2025-08-14 12:32:53.363,75,Glacier Canyon Resort,2,Wyndham,2025-10-15,2025-10-18,None,12,Deluxe,2,False,True,False,False,False,Searching,0
102214,2025-09-03 00:13:25.417,75,Glacier Canyon Resort,2,Wyndham,2025-12-13,2025-12-15,None,12,Deluxe,2,False,True,False,False,False,Searching,10
101472,2025-08-12 21:36:15.840,75,Glacier Canyon Resort,2,Wyndham,2025-12-31,2026-01-02,None,12,Deluxe,2,False,True,False,False,False,Searching,0
100385,2025-07-14 11:13:43.420,75,Glacier Canyon Resort,2,Wyndham,2026-01-02,2026-01-04,None,12,Deluxe,2,False,False,True,False,False,Searching,0
101025,2025-07-31 21:55:36.537,75,Glacier Canyon Resort,2,Wyndham,2026-03-30,2026-04-01,None,12,Deluxe,2,False,False,True,False,False,Searching,36
102554,2025-09-10 20:32:32.647,75,Glacier Canyon Resort,2,Wyndham,2026-06-19,2026-06-27,None,12,Deluxe,2,False,True,False,False,False,Searching,3
102087,2025-08-31 11:57:30.197,75,Glacier Canyon Resort,2,Wyndham,2026-06-19,2026-06-27,None,12,Deluxe,2,False,True,False,False,False,Searching,3
101813,2025-08-23 23:00:39.873,75,Glacier Canyon Resort,2,Wyndham,2026-06-20,2026-06-27,None,12,Deluxe,2,False,True,False,False,False,Searching,3
101802,2025-08-23 17:26:49.040,75,Glacier Canyon Resort,2,Wyndham,2026-06-20,2026-06-26,None,12,Deluxe,2,False,True,False,False,False,Searching,3
101806,2025-08-23 19:45:35.460,75,Glacier Canyon Resort,2,Wyndham,2026-06-20,2026-06-27,None,12,Deluxe,2,False,False,True,False,False,Searching,2
101591,2025-08-15 21:41:42.707,75,Glacier Canyon Resort,2,Wyndham,2026-06-20,2026-06-26,None,12,Deluxe,2,False,False,True,False,False,Searching,2
98349,2025-05-11 15:26:28.450,76,Pagosa Resort,2,Wyndham,2025-12-06,2025-12-10,None,12,Deluxe,2,False,False,True,False,False,Searching,140
96076,2025-03-18 06:55:07.077,76,Pagosa Resort,2,Wyndham,2025-12-16,2025-12-22,None,12,Deluxe,2,False,False,True,False,False,Searching,26
102362,2025-09-06 14:01:43.387,76,Pagosa Resort,2,Wyndham,2025-12-18,2025-12-22,None,12,Suite,3,False,True,False,False,False,Searching,50
94967,2025-02-28 21:05:55.950,76,Pagosa Resort,2,Wyndham,2025-12-20,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,8
94622,2025-02-23 22:10:52.133,76,Pagosa Resort,2,Wyndham,2025-12-20,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,8
94966,2025-02-28 21:05:30.773,76,Pagosa Resort,2,Wyndham,2025-12-20,2025-12-24,None,12,Deluxe,2,False,False,True,False,False,Searching,8
100681,2025-07-21 17:58:02.183,76,Pagosa Resort,2,Wyndham,2025-12-21,2025-12-26,None,12,Deluxe,2,False,False,True,False,False,Searching,8
102488,2025-09-09 14:19:47.450,76,Pagosa Resort,2,Wyndham,2025-12-21,2025-12-26,None,12,Deluxe,2,False,False,True,False,False,Searching,8
102779,2025-09-16 20:01:38.937,76,Pagosa Resort,2,Wyndham,2025-12-22,2025-12-29,None,12,Deluxe,2,False,False,True,False,False,Searching,2
102307,2025-09-05 10:25:12.437,76,Pagosa Resort,2,Wyndham,2025-12-22,2025-12-27,None,12,Suite,3,False,True,False,False,False,Searching,7
103052,2025-09-23 14:26:25.417,76,Pagosa Resort,2,Wyndham,2025-12-23,2025-12-30,None,12,Deluxe,2,False,False,True,False,False,Searching,2
103031,2025-09-22 23:01:23.187,76,Pagosa Resort,2,Wyndham,2025-12-26,2025-12-30,None,12,Deluxe,2,False,False,True,False,False,Searching,2
102903,2025-09-19 16:12:59.833,76,Pagosa Resort,2,Wyndham,2025-12-27,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102903,2025-09-19 16:12:59.833,76,Pagosa Resort,2,Wyndham,2025-12-27,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,0
101978,2025-08-27 23:53:15.813,76,Pagosa Resort,2,Wyndham,2025-12-27,2026-01-01,None,12,Deluxe,2,False,False,True,False,False,Searching,0
101161,2025-08-04 20:12:49.583,76,Pagosa Resort,2,Wyndham,2025-12-28,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102807,2025-09-17 21:16:46.597,76,Pagosa Resort,2,Wyndham,2025-12-28,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102877,2025-09-19 00:42:58.927,76,Pagosa Resort,2,Wyndham,2025-12-28,2026-01-02,None,12,Deluxe,2,False,False,True,False,False,Searching,0
101839,2025-08-24 19:59:32.023,76,Pagosa Resort,2,Wyndham,2025-12-28,2026-01-02,None,12,Suite,3,False,True,False,False,False,Searching,4
102155,2025-09-01 19:48:08.670,76,Pagosa Resort,2,Wyndham,2025-12-29,2026-01-01,None,12,Suite,3,False,True,False,False,False,Searching,0
103158,2025-09-25 23:27:18.183,76,Pagosa Resort,2,Wyndham,2025-12-29,2026-01-03,None,12,Deluxe,2,False,False,True,False,False,Searching,40
100612,2025-07-20 11:08:14.463,76,Pagosa Resort,2,Wyndham,2025-12-29,2026-01-03,None,12,Deluxe,2,False,False,True,False,False,Searching,40
102133,2025-09-01 10:56:36.650,76,Pagosa Resort,2,Wyndham,2026-01-04,2026-01-09,None,12,Deluxe,2,False,False,True,False,False,Searching,36
103284,2025-09-28 23:14:53.917,76,Pagosa Resort,2,Wyndham,2026-01-04,2026-01-10,None,12,Deluxe,2,False,False,True,False,False,Searching,36
101686,2025-08-18 14:52:19.350,76,Pagosa Resort,2,Wyndham,2026-01-05,2026-01-10,None,12,Deluxe,2,False,False,True,False,False,Searching,36
102682,2025-09-14 13:54:20.107,76,Pagosa Resort,2,Wyndham,2026-02-01,2026-02-05,None,12,Deluxe,2,False,False,True,False,False,Searching,32
103250,2025-09-28 09:44:55.593,76,Pagosa Resort,2,Wyndham,2026-02-06,2026-02-09,None,12,Deluxe,2,False,False,True,False,False,Searching,40
95824,2025-03-14 13:40:32.287,76,Pagosa Resort,2,Wyndham,2026-03-08,2026-03-12,None,12,Deluxe,2,False,False,True,False,False,Searching,133
95819,2025-03-14 13:21:58.817,76,Pagosa Resort,2,Wyndham,2026-03-08,2026-03-12,None,12,Suite,3,False,True,False,False,False,Searching,212
94555,2025-02-23 06:58:57.277,76,Pagosa Resort,2,Wyndham,2026-03-15,2026-03-20,None,12,Deluxe,2,False,False,True,False,False,Searching,99
92105,2025-01-05 08:29:50.967,76,Pagosa Resort,2,Wyndham,2026-03-16,2026-03-20,None,12,Deluxe,2,False,False,True,False,False,Searching,99
100290,2025-07-11 00:16:14.127,76,Pagosa Resort,2,Wyndham,2026-07-08,2026-07-13,None,12,Deluxe,2,False,False,True,False,False,Searching,0
100292,2025-07-11 01:26:49.183,76,Pagosa Resort,2,Wyndham,2026-07-08,2026-07-13,None,12,Deluxe,2,False,False,True,False,False,Searching,0
103233,2025-09-27 17:38:03.237,76,Pagosa Resort,2,Wyndham,2026-09-10,2026-09-30,None,12,Deluxe,2,False,False,True,False,False,Searching,0
101909,2025-08-26 15:03:55.167,76,Pagosa Resort,2,Wyndham,2026-09-19,2026-09-26,None,12,Deluxe,2,False,False,True,False,False,Searching,0
103173,2025-09-26 11:32:30.783,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-06,2025-10-09,None,12,Deluxe,2,False,False,True,False,False,Searching,0
102686,2025-09-14 15:05:14.710,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-06,2025-10-13,None,12,Deluxe,2,False,True,False,False,False,Searching,0
102686,2025-09-14 15:05:14.710,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-06,2025-10-13,None,12,Deluxe,2,False,True,False,False,False,Searching,0
102142,2025-09-01 13:07:13.213,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-07,2025-10-22,None,12,Deluxe,2,False,False,True,False,False,Searching,4
102142,2025-09-01 13:07:13.213,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-07,2025-10-22,None,12,Deluxe,2,False,False,True,False,False,Searching,4
102142,2025-09-01 13:07:13.213,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-07,2025-10-22,None,12,Deluxe,2,False,False,True,False,False,Searching,4
102142,2025-09-01 13:07:13.213,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-07,2025-10-22,None,12,Deluxe,2,False,False,True,False,False,Searching,4
102335,2025-09-05 22:15:27.697,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-10,2025-10-14,None,12,Deluxe,2,False,True,False,False,False,Searching,0
102046,2025-08-29 23:00:23.377,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-12,2025-10-18,None,12,Deluxe,2,False,True,False,False,False,Searching,5
101333,2025-08-09 19:31:48.897,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-12,2025-10-18,None,12,Deluxe,2,False,True,False,False,False,Searching,5
101333,2025-08-09 19:31:48.897,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-12,2025-10-18,None,12,Deluxe,2,False,True,False,False,False,Searching,5
103073,2025-09-24 07:44:02.747,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-14,2025-10-21,None,12,Deluxe,2,False,True,False,False,False,Searching,5
103073,2025-09-24 07:44:02.747,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-14,2025-10-21,None,12,Deluxe,2,False,True,False,False,False,Searching,5
100585,2025-07-19 16:02:34.720,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-15,2025-11-01,None,12,Deluxe,2,False,False,True,False,False,Searching,2
100585,2025-07-19 16:02:34.720,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-15,2025-11-01,None,12,Deluxe,2,False,False,True,False,False,Searching,2
100604,2025-07-20 00:14:41.990,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-23,2025-10-30,None,12,Deluxe,2,False,False,True,False,False,Searching,2
101762,2025-08-21 18:59:08.690,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-23,2025-10-28,None,12,Deluxe,2,False,False,True,False,False,Searching,2
100600,2025-07-19 22:40:42.483,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-23,2025-10-30,None,12,Deluxe,2,False,False,True,False,False,Searching,2
103213,2025-09-27 11:16:46.190,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-23,2025-10-28,None,12,Deluxe,2,False,True,False,False,False,Searching,16
102827,2025-09-18 06:56:30.137,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-23,2025-10-26,None,12,Deluxe,2,False,True,False,False,False,Searching,16
102020,2025-08-29 08:26:31.897,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-25,2025-10-29,None,12,Deluxe,2,False,True,False,False,False,Searching,0
102756,2025-09-16 09:57:53.823,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-25,2025-10-29,None,12,Deluxe,2,False,False,True,False,False,Searching,2
101981,2025-08-28 01:18:22.603,77,Club Wyndham Bonnet Creek,2,Wyndham,2025-10-30,2025-11-06,None,12,Deluxe,2,False,False,True,False,False,Searching,4
